                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1411,                 3.2093,                 1.3805,                0.37055,                0.37837,                0.35387,                0.26786,                0.88743,                 2.7641,                 1.1772,             0.00025364,             0.00025364,             0.00025364
                      2,                  1.059,                 2.3121,                 1.3156,                0.61988,                0.58544,                0.58803,                0.43873,                0.93927,                 2.1759,                 1.2174,             0.00034168,             0.00034168,             0.00034168
                      3,                 1.0356,                 2.0061,                 1.2889,                0.70288,                0.68468,                0.69743,                0.54692,                0.87042,                 1.8686,                 1.1654,             0.00026054,             0.00026054,             0.00026054
